seconds,data
0.0,574725
0.001,575828
0.002,581814
0.047,587901
0.167,596786
0.238,605299
0.346,619688
0.467,634180
0.517,667351
0.657,692140
0.767,715219
0.817,738330
0.997,760148
1.067,778988
1.188,797595
1.237,817120
1.368,853355
1.487,874890
1.538,898577
1.677,919506
1.787,937823
1.838,955824
1.957,970967
2.087,983414
2.207,985841
2.258,990294
2.398,989937
2.508,985400
2.558,975720
2.677,961159
2.808,946180
2.858,890268
2.977,850907
3.116,813087
3.226,789418
3.277,775821
3.397,765235
3.527,754364
3.577,741857
3.697,705853
3.837,691096
3.877,678914
3.997,665848
4.137,652820
4.248,636826
4.297,622063
4.417,611973
4.557,610280
4.597,603657
4.787,596538
4.858,586588
4.897,572228
5.017,564847
5.138,562203
5.278,556565
5.318,550878
5.438,549556
5.577,552868
5.617,566284
5.738,584502
5.858,595013
5.928,613970
6.037,636804
6.157,665016
6.298,692561
6.338,719238
6.458,740069
6.577,752735
6.718,763427
6.757,795104
6.877,809310
6.948,822455
7.057,835616
7.177,848900
7.297,857649
7.367,864271
7.477,872596
7.597,894349
7.667,903326
7.777,901653
7.898,889554
7.968,891679
8.088,901805
8.198,908122
8.317,894421
8.388,884078
8.497,864905
8.617,844214
8.688,825473
8.809,808267
8.917,794176
8.987,780405
9.107,737496
9.217,715363
9.338,696292
9.407,687777
9.528,689234
9.638,689619
9.707,687926
9.827,680956
9.937,650246
10.007,636761
10.127,626092
10.247,622958
10.357,623380
10.427,627040
10.547,619981
10.657,608887
10.847,610979
10.848,613753
10.957,612445
11.027,604602
11.147,598226
11.268,590369
11.377,581507
11.448,592510
11.567,614360
11.676,627001
11.747,644362
11.867,667821
11.987,686272
12.058,699909
12.217,733715
12.287,749432
12.397,768196
12.467,788336
12.588,807386
12.707,822573
12.777,835947
12.887,853498
13.007,890457
13.077,905133
13.186,916892
13.308,927363
13.427,936467
13.498,944590
13.607,951425
13.727,956546
13.797,964648
13.907,968043
14.027,960521
14.077,947831
14.218,924893
14.327,893563
14.448,864765
14.523,814681
14.627,795054
14.748,774553
14.799,755787
14.937,741198
15.047,729323
15.098,721723
15.238,714453
15.348,693904
15.468,681840
15.518,670577
15.657,654040
15.768,639337
15.819,631550
15.959,625931
16.068,622390
16.117,622997
16.239,626937
16.377,630662
16.538,632055
16.54,636063
16.678,650226
16.788,664654
16.838,653581
16.958,635226
17.087,622126
17.137,620190
17.258,637700
17.398,631526
17.507,614705
17.557,631306
17.679,696767
17.808,724109
17.857,749334
17.978,752585
18.117,737936
18.158,759841
18.278,791023
18.397,823398
18.528,836778
18.578,853691
18.698,869572
18.837,883149
18.878,892992
18.997,902679
19.118,912869
19.177,937571
19.297,945813
19.416,951184
19.557,954818
19.598,962011
19.718,974852
19.898,984550
19.901,980019
20.017,943685
20.137,920126
20.207,890460
20.317,865774
20.438,850005
20.578,837120
20.617,826661
20.737,797093
20.857,781370
20.927,765924
21.038,750152
21.157,735636
21.227,729202
21.337,725240
21.457,712451
21.648,676795
21.648,681864
21.757,687280
21.878,688115
21.947,698864
22.057,709753
22.178,705608
22.247,693276
22.368,675585
22.478,675096
22.597,675293
22.667,681892
22.847,704126
22.897,731247
23.017,757483
23.087,828539
23.198,857662
23.268,883863
23.386,911886
23.498,934168
23.618,953032
23.687,975477
23.877,995110
23.917,1016641
23.988,1025075
24.107,1031501
24.218,1028897
24.287,1032364
24.407,1036786
24.527,1038289
24.638,1045822
24.707,1016284
24.827,972064
24.937,948619
25.058,936488
25.128,919964
25.249,904126
25.308,893714
25.429,875457
25.548,862775
25.658,853274
25.727,846236
25.848,830585
25.958,808987
26.077,797943
26.148,820693
26.268,805383
26.337,778425
26.449,765416
26.569,753136
26.678,735566
26.748,714489
26.867,698656
26.988,680981
27.058,673525
27.168,670416
27.288,667274
27.358,666224
27.468,671817
27.587,671685
27.708,686994
27.778,733591
27.888,758698
28.007,766234
28.078,769151
28.188,785759
28.307,802543
28.357,813397
28.497,843919
28.607,871553
28.797,900993
28.798,922083
28.909,930518
29.027,936380
29.077,946602
29.217,964780
29.327,1007921
29.377,1017731
29.517,1016904
29.627,1020810
29.748,1024834
29.797,1026460
29.937,1026789
30.047,1024017
30.098,994127
30.237,967873
30.347,939103
30.397,912050
30.516,877930
30.657,836105
30.767,794958
30.817,737708
30.956,719345
31.067,697781
31.117,676878
31.237,656475
