seconds,data
0.0,495001
0.001,494639
0.001,491472
0.002,487662
0.096,484305
0.206,479932
0.257,477562
0.446,477348
0.516,479014
0.556,485111
0.676,500132
0.816,518592
0.857,537042
0.976,556549
1.096,579691
1.166,635200
1.276,662935
1.397,689084
1.536,713449
1.577,739000
1.696,767975
1.816,800132
1.886,830023
1.996,872422
2.117,880569
2.186,882909
2.295,880134
2.415,868303
2.536,845255
2.705,815387
2.711,783678
2.836,721474
2.906,698260
3.016,675610
3.137,649485
3.206,620598
3.326,595216
3.437,572940
3.556,522939
3.627,506390
3.736,503255
3.856,510285
3.927,530111
4.045,536716
4.156,529962
4.227,517836
4.416,498146
4.457,489600
4.576,484286
4.646,480369
4.765,475746
4.876,472795
4.946,471286
5.065,458287
5.176,468080
5.246,484809
5.366,501701
5.475,523739
5.596,552971
5.665,586885
5.785,622022
5.896,689904
5.966,724483
6.086,752513
6.195,772508
6.266,790840
6.386,807097
6.506,823588
6.616,838099
6.685,852342
6.876,853993
6.917,848194
6.986,841286
7.105,835511
7.226,823454
7.296,798872
7.456,723447
7.527,689339
7.636,663007
7.707,653553
7.826,646655
7.946,633488
8.016,614037
8.126,587525
8.246,528944
8.316,509491
8.426,498232
8.595,493222
8.666,489358
8.736,485651
8.846,481730
8.966,477390
9.036,469433
9.147,464542
9.266,462788
9.316,462856
9.457,464996
9.566,474745
9.687,493082
9.756,539661
9.866,563615
9.987,586116
10.036,611534
10.177,640130
10.286,672003
10.336,702904
10.476,731542
10.586,777971
10.706,799200
10.756,821755
10.896,842737
11.006,861489
11.056,871224
11.196,870803
11.306,863945
11.355,842415
11.476,834850
11.606,823562
11.726,806731
11.776,781114
11.916,756035
12.025,741051
12.075,713971
12.196,686276
12.326,652440
12.376,622711
12.496,606738
12.636,592367
12.746,575865
12.797,568354
12.916,565700
13.046,556315
13.096,544972
13.215,544393
13.356,540493
13.396,521357
13.515,497242
13.636,473154
13.765,467556
13.816,464462
13.936,470353
14.075,485410
14.116,500950
14.236,515620
14.416,531282
14.419,604408
14.605,653868
14.656,684350
14.796,706833
14.835,728961
14.955,748235
15.096,769800
15.137,793124
