class,start_sample,end_sample
exhale,0,31744
silence,31744,57140
exhale,57140,127796
silence,127796,185081
silence,185081,253656
inhale,253656,320216
exhale,320216,410328
inhale,410328,470744
silence,470744,482828
inhale,482828,551436
silence,551436,597312
inhale,597312,637248
silence,637248,769548
silence,769548,833036
silence,833036,944652
silence,944652,952640
inhale,952640,987456
silence,987456,992372
inhale,992372,1082484
exhale,1082484,1155188
inhale,1155188,1236084
silence,1236084,1329268
